word,definition,difficulty
consider,deem to be,1
minute,infinitely or immeasurably small,1
accord,concurrence of opinion,1
evident,clearly revealed to the mind or the senses or judgment,1
practice,a customary way of operation or behavior,1
intend,have in mind as a purpose,1
concern,something that interests you because it is important,1
commit,"perform an act, usually with a negative connotation",1
issue,some situation or event that is thought about,1
approach,move towards,1
establish,set up or found,1
utter,without qualification,1
conduct,direct the course of; manage or control,1
engage,consume all of one's attention or time,1
obtain,come into possession of,1
scarce,deficient in quantity or number compared with the demand,1
policy,a plan of action adopted by an individual or social group,1
straight,"successive, without a break",1
stock,capital raised by a corporation through the issue of shares,1
apparent,clearly revealed to the mind or the senses or judgment,1
property,a basic or essential attribute shared by members of a class,1
fancy,imagine; conceive of; see in one's mind,1
concept,an abstract or general idea inferred from specific instances,1
court,an assembly to conduct judicial business,1
appoint,"assign a duty, responsibility, or obligation to",1
passage,"a section of text, particularly a section of medium length",1
vain,unproductive of success,1
reflect,show an image of,1
instance,an occurrence of something,1
coast,the shore of a sea or ocean,1
project,a planned undertaking,1
commission,a special group delegated to consider some matter,1
constant,a quantity that does not vary,1
constitute,compose or represent,1
circumstances,one's overall condition in life,1
level,a relative position or degree of value in a graded group,1
affect,have an influence upon,1
institute,set up or lay the groundwork for,1
render,give an interpretation of,1
appeal,be attractive to,1
generate,bring into existence,1
theory,a well-substantiated explanation of some aspect of the world,1
range,a variety of different things or activities,1
campaign,a race between candidates for elective office,1
league,an association of sports teams that organizes matches,1
labor,any piece of work that is undertaken or attempted,1
insist,be emphatic or resolute and refuse to budge,1
confer,have a meeting in order to talk something over,1
grant,allow to have,1
dwell,think moodily or anxiously about something,1
entertain,provide amusement for,1
contract,a binding agreement that is enforceable by law,1
earnest,"characterized by a firm, sincere belief in one's opinions",1
yield,give or supply,1
wander,move or cause to move in a sinuous or circular course,1
knight,a person of noble birth trained to arms and chivalry,1
convince,make realize the truth or validity of something,1
inspire,serve as the inciting cause of,1
convention,a large formal assembly,1
skill,an ability that has been acquired by training,1
harry,annoy continually or chronically,1
financial,involving fiscal matters,1
novel,an extended fictional work in prose,1
furnish,provide with objects or articles that make a room usable,1
compel,force somebody to do something,1
venture,proceed somewhere despite the risk of possible dangers,1
territory,the geographical area under the jurisdiction of a state,1
temper,a characteristic state of feeling,1
bent,fixed in your purpose,1
tour,a route all the way around a particular place or area,1
intimate,"marked by close acquaintance, association, or familiarity",1
undertake,enter upon an activity or enterprise,1
majority,more than half of the votes in an election,1
assert,declare or affirm solemnly and formally as true,1
liberal,having political views favoring reform and progress,1
crew,the people who work on a vehicle,1
chamber,a natural or artificial enclosed space,1
humble,marked by meekness or modesty; not arrogant or prideful,1
scheme,an elaborate and systematic plan of action,1
keen,demonstrating ability to recognize or draw fine distinctions,1
despair,a state in which all hope is lost or absent,1
tide,the periodic rise and fall of the sea level,1
attitude,a complex mental state involving beliefs and feelings,1
justify,show to be reasonable or provide adequate ground for,1
flag,a rectangular piece of cloth of distinctive design,1
merit,any admirable or beneficial attribute,1
manifest,reveal its presence or make an appearance,1
notion,a general inclusive concept,1
scale,relative magnitude,1
formal,characteristic of or befitting a person in authority,1
resource,a new or reserve supply that can be drawn upon when needed,1
persist,continue to exist,1
contempt,lack of respect accompanied by a feeling of intense dislike,1
plead,enter a defendant's answer,1
weigh,be oppressive or burdensome,1
mode,how something is done or how it happens,1
distinction,a discrimination between things as different,1
inclined,at an angle to the horizontal or vertical position,1
attribute,a quality belonging to or characteristic of an entity,1
exert,make a great effort at a mental or physical task,1
oppress,come down on or keep down by unjust use of one's authority,1
contend,compete for something,1
stake,a strong wooden or metal post driven into the ground,1
toil,work hard,1
perish,pass from physical life,1
disposition,your usual mood,1
rail,complain bitterly,1
cardinal,one of a group of prominent bishops in the Sacred College,1
boast,talk about oneself with excessive pride or self-regard,1
advocate,"a person who pleads for a person, cause, or idea",1
bestow,present,1
device,an instrumentality invented for a particular purpose,1
allege,report or maintain,1
notwithstanding,despite anything to the contrary,1
lofty,of imposing height; especially standing out above others,1
multitude,a large indefinite number,1
steep,having a sharp inclination,1
heed,pay close attention to,1
modest,not large but sufficient in size or amount,1
partial,being or affecting only a segment,1
apt,naturally disposed toward,1
esteem,the condition of being honored,1
credible,appearing to merit belief or acceptance,1
provoke,provide the needed stimulus for,1
tread,a step in walking or running,1
ascertain,learn or discover with confidence,1
fare,"proceed, get along, or succeed",1
cede,relinquish possession or control over,1
perpetual,continuing forever or indefinitely,1
decree,a legally binding command or decision,1
contrive,make or work out a plan for; devise,1
derived,formed or developed from something else; not original,1
elaborate,marked by complexity and richness of detail,1
substantial,real; having a material or factual existence,1
frontier,a wilderness at the edge of a settled area of a country,1
facile,arrived at without due care or effort; lacking depth,1
cite,make reference to,1
warrant,show to be reasonable or provide adequate ground for,1
sob,weep convulsively,1
rider,a traveler who actively sits and travels on an animal,1
dense,permitting little if any light to pass through,1
afflict,cause physical pain or suffering in,1
flourish,grow vigorously,1
ordain,invest with ministerial or priestly authority,1
pious,having or showing or expressing reverence for a deity,1
vex,"disturb, especially by minor irritations",1
gravity,the force of attraction between all masses in the universe,1
suspended,supported or kept from sinking or falling by buoyancy,1
conspicuous,obvious to the eye or mind,1
retort,a quick reply to a question or remark,1
jet,an airplane powered by gas turbines,1
bolt,run away,1
assent,agree or express agreement,1
purse,a sum spoken of as the contents of a money container,1
plus,the arithmetic operation of summing,1
sanction,give authority or permission to,1
proceeding,a sequence of steps by which legal judgments are invoked,1
exalt,"praise, glorify, or honor",1
siege,an action of an armed force that surrounds a fortified place,1
malice,the desire to see others suffer,1
extravagant,recklessly wasteful,1
wax,increase in phase,1
throng,press tightly together or cram,1
venerate,regard with feelings of respect and reverence,1
assail,attack someone physically or emotionally,1
sublime,of high moral or intellectual value,1
exploit,draw from; make good use of,1
exertion,use of physical or mental energy; hard work,1
kindle,catch fire,1
endow,furnish with a capital fund,1
imposed,set forth authoritatively as obligatory,1
humiliate,cause to feel shame,1
suffrage,a legal right to vote,1
ensue,take place or happen afterward or as a result,1
brook,a natural stream of water smaller than a river,1
gale,a strong wind moving 34–40 knots,1
muse,reflect deeply on a subject,1
satire,witty language used to convey insults or scorn,1
intrigue,cause to be interested or curious,1
indication,something that serves to suggest,1
dispatch,send away towards a designated goal,1
cower,crouch or curl up,1
wont,an established custom,1
tract,a system of body parts that serves some specialized purpose,1
canon,a collection of books accepted as holy scripture,1
impel,cause to move forward with force,1
latitude,freedom from normal restraints in conduct,1
vacate,leave behind empty; move out of,1
undertaking,any piece of work that is attempted,1
slay,kill intentionally and with premeditation,1
predecessor,one who goes before you in time,1
delicacy,the quality of being exquisitely fine in appearance,1
forsake,leave someone who needs or counts on you; leave in the lurch,1
beseech,ask for or request earnestly,1
philosophical,relating to the investigation of existence and knowledge,1
grove,a small growth of trees without underbrush,1
frustrate,"hinder or prevent, as an effort, plan, or desire",1
illustrious,widely known and esteemed,1
pomp,cheap or pretentious or vain display,1
entreat,ask for or request earnestly,1
impart,"transmit, as knowledge or a skill",1
propriety,correct behavior,1
consecrate,render holy by means of religious rites,1
proceeds,the income or profit arising from a transaction,1
fathom,come to understand,1
objective,the goal intended to be attained,1
clad,wearing or provided with clothing,1
partisan,devoted to a cause or political group,1
faction,a dissenting clique,1
contrived,artificially formal,1
venerable,impressive by reason of age,1
restrained,not showy or obtrusive,1
besiege,"harass, as with questions or requests",1
manifestation,a clear appearance,1
rebuke,an act or expression of criticism and censure,1
insurgent,in opposition to a civil authority or government,1
rhetoric,using language effectively to please or persuade,1
scrupulous,having ethical or moral principles,1
ratify,"approve and express assent, responsibility, or obligation",1
stump,cause to be perplexed or confounded,1
discreet,marked by prudence or modesty and wise self-restraint,1
imposing,impressive in appearance,1
wistful,showing pensive sadness,1
mortify,cause to feel shame,1
ripple,stir up so as to form small waves,1
premise,a statement that is held to be true,1
subside,wear off or die down,1
adverse,contrary to your interests or welfare,1
caprice,a sudden desire,1
muster,"summon up, call forth, or bring together",1
comprehensive,broad in scope,1
accede,yield to another's wish or opinion,1
fervent,characterized by intense emotion,1
cohere,"cause to form a united, orderly, and consistent whole",1
tribunal,an assembly to conduct judicial business,1
austere,severely simple,1
recovering,returning to health after illness or debility,1
stratum,people having the same social or economic status,1
conscientious,characterized by extreme care and great effort,1
arbitrary,based on or subject to individual discretion or preference,1
exasperate,irritate,1
conjure,summon into action or bring into existence,1
ominous,threatening or foreshadowing evil or tragic developments,1
edifice,a structure that has a roof and walls,1
elude,"escape, either physically or mentally",1
pervade,spread or diffuse through,1
foster,promote the growth of,1
admonish,scold or reprimand; take to task,1
repeal,cancel officially,1
retiring,not arrogant or presuming,1
incidental,not of prime or central importance,2
acquiesce,agree or express agreement,2
slew,a large number or amount or extent,2
usurp,seize and take control without authority,2
sentinel,a person employed to keep watch for some anticipated event,2
precision,the quality of being exact,2
depose,force to leave an office,2
wanton,unprovoked or without motive or justification,2
odium,state of disgrace resulting from detestable behavior,2
precept,a rule of personal conduct,2
deference,a courteous expression of esteem or regard,2
fray,a noisy fight,2
candid,openly straightforward and direct without secretiveness,2
